Source,Target
19,220
19,242
19,366
19,756
60,816
60,366
60,1356
60,253
60,45
69,238
69,254
69,366
69,380
69,674
69,1056
69,1378
69,372
69,1057
74,76
74,78
74,79
74,444
74,795
99,674
99,727
99,360
99,119
99,747
99,1130
99,426
99,1103
104,1165
104,426
104,105
104,138
104,59
104,778
104,957
213,334
213,282
213,238
213,288
213,600
213,159
213,986
213,141
213,803
213,478
213,295
213,18
213,955
213,997
213,778
213,548
213,360
214,334
214,238
214,288
214,600
214,159
214,986
214,141
214,803
214,478
214,295
214,18
214,955
214,997
214,778
214,548
214,282
214,360
148,353
148,344
148,778
148,925
148,1032
148,1072
148,354
148,352
148,1233
148,363
279,366
279,462
279,372
279,609
279,369
279,380
279,825
279,1046
279,951
279,1146
279,533
279,"label
Issues    698
Issues    699
Name: id, dtype: int64"
284,661
284,978
284,366
284,1057
284,979
284,462
297,344
297,778
297,1402
297,1158
335,804
335,"label
Email    456
Email    457
Name: id, dtype: int64"
335,1181
335,1300
365,786
365,906
365,1124
365,240
365,"label
Crowdmapping    328
Crowdmapping    329
Name: id, dtype: int64"
365,462
365,332
389,294
389,366
389,380
389,612
389,739
389,1056
389,1376
389,1378
389,462
389,62
389,926
389,1058
392,370
392,20
392,190
392,1057
392,462
392,228
392,240
392,186
392,1376
392,"label
Budget    129
Budget    130
Name: id, dtype: int64"
392,1069
392,1017
392,1051
403,1209
403,369
412,380
412,415
412,610
412,533
412,1255
412,1376
412,256
412,253
412,825
412,1310
412,1103
412,870
412,46
412,805
412,776
421,540
421,1402
421,1048
421,306
421,1399
421,397
422,694
422,786
422,1124
422,1068
422,1000
422,"label
Issues    698
Issues    699
Name: id, dtype: int64"
342,353
342,344
342,778
342,925
342,1032
342,1072
342,354
342,352
342,1233
342,363
430,292
430,109
430,253
430,1072
430,540
430,290
430,397
430,306
430,1402
453,474
453,778
453,955
453,997
453,1051
453,353
453,344
453,45
453,1125
453,451
453,1356
471,344
471,1225
471,332
471,153
471,240
472,1056
472,424
472,445
472,240
472,1105
472,1270
510,127
510,1100
510,1165
510,1131
510,1400
510,1396
511,1270
511,424
511,445
511,240
511,1105
511,1270
521,694
521,786
521,1124
521,1068
521,1000
521,"label
Issues    698
Issues    699
Name: id, dtype: int64"
522,694
522,786
522,1124
522,1068
522,1000
522,"label
Issues    698
Issues    699
Name: id, dtype: int64"
538,1154
538,1019
538,798
538,364
538,824
538,798
567,531
567,1126
567,1341
567,398
567,1215
567,499
567,661
567,997
567,240
567,695
"label
Issues    698
Issues    699
Name: id, dtype: int64",1076
"label
Issues    698
Issues    699
Name: id, dtype: int64",462
"label
Issues    698
Issues    699
Name: id, dtype: int64",1345
"label
Issues    698
Issues    699
Name: id, dtype: int64",76
707,156
707,269
707,798
707,76
707,1345
707,1358
708,156
708,269
708,798
708,76
708,1345
708,1358
719,160
719,1050
719,718
719,778
719,115
719,240
757,291
757,294
757,380
757,1056
757,1376
757,372
757,380
757,245
757,378
757,756
768,219
768,294
768,366
768,373
768,380
768,611
768,710
768,887
768,1056
768,1376
769,1322
769,1186
769,888
769,752
770,1186
770,502
770,1045
770,49
770,1268
770,636
770,1302
771,664
771,1186
771,795
771,636
771,1045
771,49
781,786
781,742
781,282
781,925
788,694
788,786
788,1124
788,1068
788,1000
788,"label
Issues    698
Issues    699
Name: id, dtype: int64"
793,1174
793,414
793,179
793,238
793,253
793,1262
793,609
793,682
793,626
797,1421
797,1535
835,1359
835,76
835,1358
835,157
835,414
835,609
873,167
873,1158
964,502
964,636
964,1233
964,1247
964,1186
987,986
987,462
987,1376
987,986
987,462
987,1376
987,986
987,462
987,1376
1486,986
1486,462
1486,1376
1524,415
1524,533
1524,414
1524,256
999,1061
999,286
999,366
999,734
999,424
1022,927
1022,926
1022,978
1022,971
1022,735
1022,972
1022,1389
1089,1076
1089,978
1089,1058
1089,1376
1089,366
1128,786
1135,253
1135,682
1135,179
